job_description,cv_text,label
"We are hiring a Cybersecurity Analyst with experience in Penetration Testing, Network Security, Encryption.","Certified specialist in Penetration Testing, Network Security, Encryption. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Data Scientist with experience in Machine Learning, Statistics, Python.","Experienced professional skilled in Machine Learning, Statistics, Python. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Data Scientist with experience in Scikit-learn, Python, Pandas.","Certified specialist in Scikit-learn, Python, Pandas. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Software Engineer with experience in Algorithms, Data Structures, System Design.","Certified specialist in Algorithms, Data Structures, System Design. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a AI Engineer with experience in TensorFlow, PyTorch, Computer Vision.","Technical expert with a background in TensorFlow, PyTorch, Computer Vision. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Digital Marketer with experience in Content Writing, Google Ads, SEO.","Technical expert with a background in Content Writing, Google Ads, SEO. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a DevOps Engineer with experience in CI/CD, Docker, Kubernetes.","Technical expert with a background in CI/CD, Docker, Kubernetes. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Project Manager with experience in Scrum, Agile, Planning.","Experienced professional skilled in Scrum, Agile, Planning. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a DevOps Engineer with experience in CI/CD, Linux, Docker.","Technical expert with a background in CI/CD, Linux, Docker. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Digital Marketer with experience in Email Marketing, Analytics, Content Writing.","Technical expert with a background in Email Marketing, Analytics, Content Writing. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Digital Marketer with experience in Google Ads, Analytics, Content Writing.","Experienced professional skilled in Google Ads, Analytics, Content Writing. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Data Scientist with experience in Python, Pandas, Machine Learning.","Recent graduate familiar with Python, Pandas, Machine Learning. Looking forward to applying this knowledge in a dynamic environment.",1
"We are hiring a Digital Marketer with experience in Content Writing, Google Ads, Analytics.","Certified specialist in Content Writing, Google Ads, Analytics. Looking forward to applying this knowledge in a dynamic environment.",1
